clip_id,source_video,clip_name,clip_path,start_frame,end_frame,start_sec,end_sec,duration_sec,human_present,suspicious_event,animal_abnormal_event,behavior_label,review_status,reviewer_notes,human_evidence_ratio,human_evidence_max_humans,human_evidence_frames
12,horsevid2.mp4,012_horse2_clip_0002_human_check_f546_to_f635.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/012_horse2_clip_0002_human_check_f546_to_f635.mp4,546,635,18.202,21.169,3,1,0,1,suspicious,prefilled_auto,"auto: human_ratio=0.07; max_h=1; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.07, max_h=1, label=1",0.067,1,6
13,horsevid2.mp4,013_horse2_clip_0003_negative_check_f1335_to_f1424.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/013_horse2_clip_0003_negative_check_f1335_to_f1424.mp4,1335,1424,44.505,47.472,3,1,0,1,suspicious,prefilled_auto,"auto: human_ratio=0.01; max_h=1; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.01, max_h=1, label=1",0.011,1,1
14,horsevid2.mp4,014_horse2_clip_0004_alert_f1690_to_f1779.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/014_horse2_clip_0004_alert_f1690_to_f1779.mp4,1690,1779,56.34,59.307,3,1,0,0,suspicious,prefilled_auto,"auto: human_ratio=0.48; max_h=1; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.48, max_h=1, label=1",0.478,1,43
15,horsevid2.mp4,015_horse2_clip_0005_negative_check_f1967_to_f2056.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/015_horse2_clip_0005_negative_check_f1967_to_f2056.mp4,1967,2056,65.574,68.541,3,1,0,0,suspicious,prefilled_auto,"auto: human_ratio=0.08; max_h=1; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.08, max_h=1, label=1",0.078,1,7
16,horsevid2.mp4,016_horse2_clip_0006_human_check_f2188_to_f2277.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/016_horse2_clip_0006_human_check_f2188_to_f2277.mp4,2188,2277,72.941,75.908,3,1,0,0,suspicious,prefilled_auto,"auto: human_ratio=0.01; max_h=1; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.01, max_h=1, label=1",0.011,1,1
17,horsevid2.mp4,017_horse2_clip_0007_negative_check_f2597_to_f2686.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/017_horse2_clip_0007_negative_check_f2597_to_f2686.mp4,2597,2686,86.576,89.543,3,1,0,0,suspicious,prefilled_auto,"auto: human_ratio=0.10; max_h=1; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.10, max_h=1, label=1",0.100,1,9
18,horsevid2.mp4,018_horse2_clip_0008_human_check_f2919_to_f3008.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/018_horse2_clip_0008_human_check_f2919_to_f3008.mp4,2919,3008,97.311,100.278,3,1,0,0,suspicious,prefilled_auto,"auto: human_ratio=0.08; max_h=1; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.08, max_h=1, label=1",0.078,1,7
19,horsevid2.mp4,019_horse2_clip_0009_negative_check_f3317_to_f3406.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/019_horse2_clip_0009_negative_check_f3317_to_f3406.mp4,3317,3406,110.579,113.546,3,1,0,0,idle,prefilled_auto,"auto: human_ratio=0.04; max_h=1; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.04, max_h=1, label=1",0.044,1,4
20,horsevid2.mp4,020_horse2_clip_0010_human_check_f3433_to_f3522.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/020_horse2_clip_0010_human_check_f3433_to_f3522.mp4,3433,3522,114.446,117.413,3,1,0,0,idle,prefilled_auto,"auto: human_ratio=0.09; max_h=1; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.09, max_h=1, label=1",0.089,1,8
21,horsevid2.mp4,021_horse2_clip_0011_negative_check_f3947_to_f4036.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/021_horse2_clip_0011_negative_check_f3947_to_f4036.mp4,3947,4036,131.581,134.548,3,0,0,0,,prefilled_auto,"auto: human_ratio=0.00; max_h=0; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.00, max_h=0, label=0",0.000,0,0
22,horsevid2.mp4,022_horse2_clip_0012_negative_check_f4579_to_f4668.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/022_horse2_clip_0012_negative_check_f4579_to_f4668.mp4,4579,4668,152.65,155.617,3,0,0,0,,prefilled_auto,"auto: human_ratio=0.00; max_h=0; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.00, max_h=0, label=0",0.000,0,0
23,horsevid2.mp4,023_horse2_clip_0013_human_check_f4738_to_f4827.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/023_horse2_clip_0013_human_check_f4738_to_f4827.mp4,4738,4827,157.951,160.918,3,0,0,0,,prefilled_auto,"auto: human_ratio=0.51; max_h=1; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.51, max_h=1, label=0",0.511,1,46
24,horsevid2.mp4,024_horse2_clip_0014_alert_f4837_to_f4926.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/024_horse2_clip_0014_alert_f4837_to_f4926.mp4,4837,4926,161.251,164.218,3,0,0,0,,prefilled_auto,"auto: human_ratio=1.00; max_h=1; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=1.00, max_h=1, label=0",1.000,1,90
25,horsevid2.mp4,025_horse2_clip_0015_alert_f5069_to_f5158.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/025_horse2_clip_0015_alert_f5069_to_f5158.mp4,5069,5158,168.985,171.952,3,0,0,0,,prefilled_auto,"auto: human_ratio=1.00; max_h=1; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=1.00, max_h=1, label=0",1.000,1,90
26,horsevid2.mp4,026_horse2_clip_0016_negative_check_f5662_to_f5751.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/026_horse2_clip_0016_negative_check_f5662_to_f5751.mp4,5662,5751,188.754,191.721,3,0,0,0,,prefilled_auto,"auto: human_ratio=0.03; max_h=1; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.03, max_h=1, label=0",0.033,1,3
27,horsevid2.mp4,027_horse2_clip_0017_human_check_f6229_to_f6318.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/027_horse2_clip_0017_human_check_f6229_to_f6318.mp4,6229,6318,207.656,210.623,3,0,0,0,,prefilled_auto,"auto: human_ratio=0.40; max_h=1; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.40, max_h=1, label=0",0.400,1,36
28,horsevid2.mp4,028_horse2_clip_0018_alert_f6399_to_f6488.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/028_horse2_clip_0018_alert_f6399_to_f6488.mp4,6399,6488,213.324,216.291,3,0,0,0,,prefilled_auto,"auto: human_ratio=0.98; max_h=1; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.98, max_h=1, label=0",0.978,1,88
